Organism;Scale;Nr. Of TFs;Nr. of target genes;Nr. of interactions;Nr. of binding sites;Nr. of binding sequences
Homo sapiens;small-scale;839;4680;16634;35445;35633
;large-scale;1348;20120;6722723;8857060;8870892
;total⁶;1606;20139;6739357;8892505;8906525
Mus musculus;small-scale;846;2503;8687;10537;10589
;large-scale;711;21263;4048895;363228;380417
;total;1156;21536;4057582;373765;391006
Rattus norvegicus;small-scale;6;6;8;179;196
;large-scale;51;13525;81221;0;166
;total;56;13530;81229;179;362
Danio rerio;small-scale;0;0;0;0;0
;large-scale;17;13769;25960;0;0
;total;17;13769;25960;0;0
Drosophila melanogaster;small-scale;173;281;699;3262;6026
;large-scale;462;18757;367930;10948;11237
;total;527;18766;368629;14210;17263
Caenorhabditis elegans;small-scale;18;93;109;116;143
;large-scale;282;16499;315909;9746;9905
;total;289;16519;316018;9862;10048
Saccharomyces cerevisiae;small-scale;191;2166;5349;5;5
;large-scale;317;6549;232365;0;0
;total;333;6549;237714;5;5
Total;small-scale;2073;9729;31486;49544;52592
;large-scale;3188;110482;11795003;9240982;9272617
;total;3984;110808;11826489;9290526;9325209
