TFLink ID,Uniprot ID,Protein name,Organism,Detection method,Publication,Source database,Assembly,Chr,Start,End,Strand
TFLinkHT0000001,Q93560,blmp-1,Caenorhabditis elegans,chromatin immunoprecipitation assay,20421211,jaspar,ce10,chrX,5716076,5716086,+
TFLinkHT0000002,Q93560,blmp-1,Caenorhabditis elegans,chromatin immunoprecipitation assay,20421211,jaspar,ce10,chrII,13079048,13079058,+
TFLinkHT0000003,Q93560,blmp-1,Caenorhabditis elegans,chromatin immunoprecipitation assay,20421211,jaspar,ce10,chrX,11239564,11239574,-
TFLinkHT0000004,Q93560,blmp-1,Caenorhabditis elegans,chromatin immunoprecipitation assay,20421211,jaspar,ce10,chrI,7290987,7290997,-
TFLinkHT0000005,Q93560,blmp-1,Caenorhabditis elegans,chromatin immunoprecipitation assay,20421211,jaspar,ce10,chrIII,4463237,4463247,-
TFLinkHT0000006,Q93560,blmp-1,Caenorhabditis elegans,chromatin immunoprecipitation assay,20421211,jaspar,ce10,chrIII,4463249,4463259,-
TFLinkHT0000007,Q93560,blmp-1,Caenorhabditis elegans,chromatin immunoprecipitation assay,20421211,jaspar,ce10,chrII,4107145,4107155,-
TFLinkHT0000008,Q93560,blmp-1,Caenorhabditis elegans,chromatin immunoprecipitation assay,20421211,jaspar,ce10,chrI,3580603,3580613,-
TFLinkHT0000009,Q93560,blmp-1,Caenorhabditis elegans,chromatin immunoprecipitation assay,20421211,jaspar,ce10,chrV,12676424,12676434,+
TFLinkHT0000010,Q93560,blmp-1,Caenorhabditis elegans,chromatin immunoprecipitation assay,20421211,jaspar,ce10,chrIV,11659467,11659477,+
TFLinkHT0000011,Q93560,blmp-1,Caenorhabditis elegans,chromatin immunoprecipitation assay,20421211,jaspar,ce10,chrV,5026646,5026656,-
TFLinkHT0000012,Q93560,blmp-1,Caenorhabditis elegans,chromatin immunoprecipitation assay,20421211,jaspar,ce10,chrV,19018181,19018191,+
TFLinkHT0000013,Q93560,blmp-1,Caenorhabditis elegans,chromatin immunoprecipitation assay,20421211,jaspar,ce10,chrV,19018223,19018233,+
TFLinkHT0000014,Q93560,blmp-1,Caenorhabditis elegans,chromatin immunoprecipitation assay,20421211,jaspar,ce10,chrV,19018238,19018248,+
TFLinkHT0000015,Q93560,blmp-1,Caenorhabditis elegans,chromatin immunoprecipitation assay,20421211,jaspar,ce10,chrIII,10583289,10583299,-
