UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database
P14064	P49089	853751	856268	HAP4	ASN1	tag visualisation by enzyme assay	8951815,24170807	Saccharomyces cerevisiae	Yeastract
P53035	P38361	852663	852599	MIG2	PHO89	array technology/partial DNA sequence identification by hybridization,tag visualisation by enzyme assay	19087243,20385592,24170807,25266663	Saccharomyces cerevisiae	Yeastract
Q12224	P33304	856016	851658	RLM1	AFR1	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,tag visualisation by enzyme assay	19234305,22621902,15343339,14739279,24170807	Saccharomyces cerevisiae	Yeastract
P20134	P31539	854307	850633	SFL1	HSP104	tag visualisation by enzyme assay	11923285,24170807	Saccharomyces cerevisiae	Yeastract
P20134	P38862	854307	856576	SFL1	ATG7	reverse transcription pcr	24170807,26649943	Saccharomyces cerevisiae	Yeastract
P32805	P0CH63	852638	850483,855381	FZF1	DDI2	tag visualisation by enzyme assay	16014606,24170807	Saccharomyces cerevisiae	Yeastract
P41813	P32610	855656	856659	FKH2	VMA8	array technology/partial DNA sequence identification by hybridization,quantitative pcr	24170807,20385592,29519938	Saccharomyces cerevisiae	Yeastract
P41546	P18852	850513	853548	HAC1	STE18	footprinting,full identification by RNA sequencing	30016623,24170807	Saccharomyces cerevisiae	Yeastract
P41546	Q04608	850513	851702	HAC1	-	footprinting,full identification by RNA sequencing	30016623,24170807	Saccharomyces cerevisiae	Yeastract
P38141	P05737	852542	852804	THI2	RPL7A	reverse transcription pcr	29686730,24170807	Saccharomyces cerevisiae	Yeastract
P22035	P33734	853974	852550	BAS1	HIS7	array technology/partial DNA sequence identification by hybridization,electrophoretic mobility shift assay	8939895,20385592,24170807	Saccharomyces cerevisiae	Yeastract
Q12753	Q08732	856117	854441	HAA1	HRK1	array technology/partial DNA sequence identification by hybridization,quantitative reverse transcription pcr,reverse transcription pcr	20955010,28428821,24170807	Saccharomyces cerevisiae	Yeastract
P41546	P38710	850513	856442	HAC1	INM1	footprinting,full identification by RNA sequencing	30016623,24170807	Saccharomyces cerevisiae	Yeastract
P39678	Q08032	851503	850793	MBP1	CDC45	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,chromatin immunoprecipitation assay,northern blot	12399584,11572776,15343339,20385592,11206552,15965243,20573214,24170807	Saccharomyces cerevisiae	Yeastract
P27705	P07143	852848	854231	MIG1	CYT1	Identification by mass spectrometry,array technology/partial DNA sequence identification by hybridization,northern blot	15073302,20385592,29611422,24170807	Saccharomyces cerevisiae	Yeastract
P16649	P09201	850445	851092	TUP1	FBP1	tag visualisation by enzyme assay	24170807,11563983	Saccharomyces cerevisiae	Yeastract
P0CE41	P0CG63	850958	850620	HAP1	UBI4	tag visualisation by enzyme assay	9037103,24170807	Saccharomyces cerevisiae	Yeastract
P33749	P23337	853803	850569	MSN4	GSY1	array technology/partial DNA sequence identification by hybridization,reverse transcription pcr,tag visualisation by enzyme assay	19734328,12697770,18270585,21749328,24170807,15870279,18931682	Saccharomyces cerevisiae	Yeastract
Q03465	Q01662	851542	850945	RPN4	MAP1	array technology/partial DNA sequence identification by hybridization,experimental interaction detection	21931558,18627600,24170807	Saccharomyces cerevisiae	Yeastract
P34161	P26309	854981	852762	YOX1	CDC20	array technology,array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation assay,full identification by RNA sequencing,northern blot	12464633,16880382,28916784,24170807,22056777,20385087	Saccharomyces cerevisiae	Yeastract
P42944	P36148	853334	853941	GZF3	GPT2	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation assay,northern blot	9171383,19380492,20385592,24170807	Saccharomyces cerevisiae	Yeastract
Q03465	P22082	851542	854465	RPN4	SNF2	array technology/partial DNA sequence identification by hybridization,experimental interaction detection	21931558,18627600,24170807	Saccharomyces cerevisiae	Yeastract
P03069	P38891	856709	856615	GCN4	BAT1	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation assay,northern blot	19346491,29628310,11390663,28912343,20385592,23275543,16880382,16166643,27924024,24170807,20233714	Saccharomyces cerevisiae	GTRD,Yeastract
P41546	P43604	850513	850583	HAC1	ULI1	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,footprinting,full identification by RNA sequencing	16371132,25275008,15343339,30016623,24170807	Saccharomyces cerevisiae	Yeastract
P07248	P09201	851802	851092	ADR1	FBP1	chromatin immunoprecipitation assay,reverse transcription pcr	18197247,15743812,24170807,17974563	Saccharomyces cerevisiae	Yeastract
P21192	P53616	850822	855659	ACE2	SUN4	array technology/partial DNA sequence identification by hybridization,western blot	27229769,20385592,24170807	Saccharomyces cerevisiae	Yeastract
P07261	P32466	856030	851946	GCR1	HXT3	array technology/partial DNA sequence identification by hybridization,tag visualisation by enzyme assay	10455229,20385592,15645478,24170807	Saccharomyces cerevisiae	Yeastract
P33749	Q04120	853803	852064	MSN4	TSA2	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,electrophoretic mobility-based method,reverse transcription pcr,tag visualisation by enzyme assay	19734328,12100562,10722658,22912562,15343339,16709784,11821410,12614847,24170807,19503593,16710843,18931682	Saccharomyces cerevisiae	Yeastract
P41546	Q3E739	850513	1466495	HAC1	-	footprinting,full identification by RNA sequencing	30016623,24170807	Saccharomyces cerevisiae	Yeastract
P43574	P40260	850523	853019	GAT1	MEP1	chromatin immunoprecipitation assay,full identification by RNA sequencing,tag visualisation by enzyme assay	24170807,27924024,9234685,29620523	Saccharomyces cerevisiae	GTRD,Yeastract
Q03465	P47120	851542	853534	RPN4	LIA1	experimental interaction detection	21931558,24170807	Saccharomyces cerevisiae	Yeastract
P26343	P21826	853904	854849	DAL80	DAL7	array technology/partial DNA sequence identification by hybridization,electrophoretic mobility shift assay,northern blot	3915539,8376332,1944286,10392447,24170807,10488154,21246356	Saccharomyces cerevisiae	Yeastract
P33748	P38695	855053	856496	MSN2	HXT5	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,chromatin immunoprecipitation assay,northern blot	24598258,16926161,15647283,28949295,30256697,16880382,22354995,21749328,24170807,18753408,15870279,18931682	Saccharomyces cerevisiae	Yeastract
P53968	Q12252	855704	854070	CRZ1	PHM7	array technology,array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation assay,tag visualisation by fluorescence	18818649,16880382,27544903,27924024,24170807,12058033	Saccharomyces cerevisiae	GTRD,Yeastract
Q12224	P06115	856016	852979	RLM1	CTT1	array technology/partial DNA sequence identification by hybridization,northern blot	10594829,24170807,18931682	Saccharomyces cerevisiae	Yeastract
P54785	Q12428	855092	856108	MOT3	PDH1	northern blot	23435728,24170807	Saccharomyces cerevisiae	Yeastract
Q03465	P25655	851542	850455	RPN4	CDC39	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,experimental interaction detection	21931558,15343339,18627600,24170807	Saccharomyces cerevisiae	Yeastract
P41546	P18962	850513	856423	HAC1	DAP2	footprinting,full identification by RNA sequencing	30016623,24170807	Saccharomyces cerevisiae	Yeastract
P33200	P04807	852278	852639	PDR3	HXK2	array technology/partial DNA sequence identification by hybridization,electrophoretic mobility-based method	11683503,18627600,24170807	Saccharomyces cerevisiae	Yeastract
P38889	Q04120	856613	852064	SKN7	TSA2	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,experimental interaction detection,northern blot,tag visualisation by enzyme assay	10347154,15343339,20385592,16880382,11821410,12614847,24170807,19503593	Saccharomyces cerevisiae	Yeastract
Q03465	P39993	851542	856691	RPN4	GEA2	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,experimental interaction detection	21931558,15343339,18627600,24170807	Saccharomyces cerevisiae	Yeastract
P38889	P16120	856613	850420	SKN7	THR4	Identification by mass spectrometry,array technology/partial DNA sequence identification by hybridization	24170807,27373166,16880382	Saccharomyces cerevisiae	Yeastract
P38889	P21954	856613	851493	SKN7	IDP1	Identification by mass spectrometry	27373166,24170807	Saccharomyces cerevisiae	Yeastract
P33749	P47771	853803	855206	MSN4	ALD2	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation assay,electrophoretic mobility-based method,experimental interaction detection,northern blot,reverse transcription pcr,tag visualisation by enzyme assay	16926161,12100562,10407263,10722658,10411744,12794936,15870279,21131516,21749328,24170807,28949295,18931682	Saccharomyces cerevisiae	Yeastract
P26798	P43574	851701	850523	INO2	GAT1	chromatin immunoprecipitation assay,experimental interaction detection	24170807,22057011,30073202	Saccharomyces cerevisiae	Yeastract
P46676	P54784	851905	854937	SUM1	ORC1	quantitative reverse transcription pcr	27362276,24170807	Saccharomyces cerevisiae	Yeastract
P11746	P09119	855060	853244	MCM1	CDC6	chromatin immunoprecipitation array,chromatin immunoprecipitation assay,northern blot	12399584,11572776,9171372,15343339,18303948,11756540,12732146,24170807	Saccharomyces cerevisiae	Yeastract
Q03465	P35729	851542	853808	RPN4	NUP120	array technology/partial DNA sequence identification by hybridization,experimental interaction detection	21931558,18627600,24170807	Saccharomyces cerevisiae	Yeastract
P33200	P36086	852278	853792	PDR3	-	array technology,array technology/partial DNA sequence identification by hybridization,reverse transcription pcr	17881724,18627600,15145054,24170807,11943188,29034432	Saccharomyces cerevisiae	Yeastract
P14164	Q3E7X9	853748	854338	ABF1	RPS28A	chromatin immunoprecipitation assay,footprinting	10684934,25748434,27016735,2677998,24170807	Saccharomyces cerevisiae	Yeastract
P53035	P04385	852663	852308	MIG2	GAL1	chromatin immunoprecipitation assay,electrophoretic mobility shift assay,northern blot	11281938,8756637,21323640,24170807	Saccharomyces cerevisiae	Yeastract
P33749	Q04432	853803	852146	MSN4	HSP31	array technology/partial DNA sequence identification by hybridization,tag visualisation by enzyme assay	10722658,27984092,24170807,19503593,16710843,15870279,18931682	Saccharomyces cerevisiae	Yeastract
Q03465	Q08972	851542	855875	RPN4	NEW1	array technology/partial DNA sequence identification by hybridization,experimental interaction detection	21931558,18627600,24170807	Saccharomyces cerevisiae	Yeastract
P13434	P0CF22	852260		HAP3	SDL1	tag visualisation by enzyme assay	8195189,7900416,24170807	Saccharomyces cerevisiae	Yeastract
P07270	P38361	850594	852599	PHO4	PHO89	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,chromatin immunoprecipitation assay,full identification by RNA sequencing,tag visualisation by enzyme assay,western blot	21960436,11102525,12453218,29236696,19108609,15343339,16880382,23558744,27924024,24170807,28485712,25266663	Saccharomyces cerevisiae	GTRD,Yeastract
P53438	P09435	855030	852203	SOK2	SSA3	northern blot	8524252,24170807	Saccharomyces cerevisiae	Yeastract
