TFLinkID	UniprotID.TF	Name.TF	Organism	Detection.method	PubmedID	Source.database	Assembly	Chromosome	Start	End	Strand
TFLinkLT00000001	P29555	abd-A	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000002	P29555	abd-A	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000003	P29555	abd-A	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000004	P29555	abd-A	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000005	P29555	abd-A	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000006	P29555	abd-A	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000007	P29555	abd-A	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000008	P29555	abd-A	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000009	P29555	abd-A	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000010	P29555	abd-A	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000011	P29555	abd-A	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000012	P29555	abd-A	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000013	P29555	abd-A	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000014	P29555	abd-A	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000015	P29555	abd-A	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000016	P29555	abd-A	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000017	P29555	abd-A	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000018	P29555	abd-A	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000019	P29555	abd-A	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000020	P29555	abd-A	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000021	P29555	abd-A	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000022	P29555	abd-A	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000023	P29555	abd-A	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000024	P09087	Abd-B	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000025	P09087	Abd-B	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000026	P09087	Abd-B	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000027	P09087	Abd-B	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000028	P09087	Abd-B	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000029	P09087	Abd-B	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
TFLinkLT00000030	P09087	Abd-B	Drosophila melanogaster	one hybrid	18332042	jaspar	-	-	-	-	-
