UniprotID.TF,UniprotID.Target,NCBI.GeneID.TF,NCBI.GeneID.Target,Name.TF,Name.Target,Detection.method,PubmedID,Organism,Source.database
Q9Z1N7,Q6PIP8,56380,-,Arid3b,Igh,inferred by curator,21955986;29087512,Mus musculus,TRRUST
Q9JL61,P14483,53970,14961,Rfx5,H2-Ab1,inferred by curator,29087512;11258423,Mus musculus,TRRUST
Q04207,Q38HM4,19697,-,Rela,Trim63,inferred by curator,24064732;29087512,Mus musculus,TRRUST
Q01147,P16014,12912,12653,Creb1,Chgb,inferred by curator,17202159,Mus musculus,TRED
Q01147,F8VPR5,12912,12914,Creb1,Crebbp,chromatin immunoprecipitation assay;inferred by curator,27924024;17202159,Mus musculus,GTRD;TRED
P51960,P48379,17864,19725,Mybl1,Rfx2,chromatin immunoprecipitation assay;inferred by curator,29087512;20003220;27924024,Mus musculus,GTRD;TRRUST
Q61221,Q07813,15251,12028,Hif1a,Bax,chromatin immunoprecipitation assay;inferred by curator,27924024;17202159,Mus musculus,GTRD;TRED
P05627,Q09200,16476,14421,Jun,B4galnt1,chromatin immunoprecipitation assay;inferred by curator,27924024;29087512;24102378,Mus musculus,GTRD;TRRUST
P23204,O70571,19013,27273,Ppara,Pdk4,chromatin immunoprecipitation assay;inferred by curator,17202159;18566121;29087512;27924024,Mus musculus,GTRD;TRED;TRRUST
O54839,P51450,13813,19885,Eomes,Rorc,inferred by curator,21600798;29087512,Mus musculus,TRRUST
P25799,P01108,18033,17869,Nfkb1,Myc,inferred by curator,10931834;12471115;12783888;10727020;1515224;15345217;8289784;17202159;29087512,Mus musculus,TRED;TRRUST
Q60795,Q08857,18024,12491,Nfe2l2,Cd36,chromatin immunoprecipitation assay;inferred by curator,29087512;18514070;27924024;18585365,Mus musculus,GTRD;TRRUST
O89091,Q9WTL8,21847,11865,Klf10,Arntl,inferred by curator,20070857;29087512,Mus musculus,TRRUST
P17208,Q63934,18996,18997,Pou4f1,Pou4f2,inferred by curator,11172005;29087512,Mus musculus,TRRUST
Q62431,Q569W9,13496,-,Arid3a,Igh,inferred by curator,21955986;19214191;29087512,Mus musculus,TRRUST
P37238,P31786,19016,13167,Pparg,Dbi,chromatin immunoprecipitation assay;inferred by curator,17202159;12015306;29087512;27924024,Mus musculus,GTRD;TRED;TRRUST
P15307,O55179,-,12047,Rel,Bcl2a1d,inferred by curator,11880364;29087512,Mus musculus,TRRUST
P09632,P62737,15416,11475,Hoxb8,Acta2,inferred by curator,15886193;29087512,Mus musculus,TRRUST
P25916,Q80Z64,12151,71950,Bmi1,Nanog,inferred by curator,25348805;29087512,Mus musculus,TRRUST
P05627,P47873,16476,16156,Jun,Il11,chromatin immunoprecipitation assay;inferred by curator,27924024;29087512;20927330;12929935,Mus musculus,GTRD;TRRUST
Q9JJP2,P39689,22062,12575,Tp73,Cdkn1a,inferred by curator,29087512;18421303,Mus musculus,TRRUST
P05627,P33434,16476,17390,Jun,Mmp2,inferred by curator,20353950;16258061;16699069;17202159;29087512,Mus musculus,TRED;TRRUST
P41183,Q61165,12053,20544,Bcl6,Slc9a1,inferred by curator,17202159,Mus musculus,TRED
Q60722,P22387,21413,13614,Tcf4,Edn1,inferred by curator,16291872;29087512,Mus musculus,TRRUST
Q00899,P01132,22632,13645,Yy1,Egf,chromatin immunoprecipitation assay;inferred by curator,29087512;9687156;27924024,Mus musculus,GTRD;TRRUST
Q01147,P15388,12912,16502,Creb1,Kcnc1,inferred by curator,17202159,Mus musculus,TRED
O89090,P22091,20683,21349,Sp1,Tal1,chromatin immunoprecipitation assay;inferred by curator,17202159;9786909;29087512;27924024,Mus musculus,GTRD;TRED;TRRUST
Q61221,P18572,15251,12215,Hif1a,Bsg,chromatin immunoprecipitation assay;inferred by curator,29087512;27924024;22678117,Mus musculus,GTRD;TRRUST
P28033,P12242,12608,22227,Cebpb,Ucp1,chromatin immunoprecipitation assay;inferred by curator,15762841;27924024;29087512;19491401,Mus musculus,GTRD;TRRUST
P34056,P55066,21418,13004,Tfap2a,Ncan,inferred by curator,17202159,Mus musculus,TRED
O35618,P02340,17248,22059,Mdm4,Tp53,inferred by curator,16492744;11528400;14712235;19371999;19910468;17875722;16227609;23474762;17533180;29087512,Mus musculus,TRRUST
