TFLinkID	UniprotID.TF	Name.TF	Organism	Detection.method	PubmedID	Source.database	Assembly	Chromosome	Start	End	Strand
TFLinkLT01280392	Q01094	E2F1	Homo sapiens	inferred by curator	1411535	jaspar	-	-	-	-	-
TFLinkLT01280393	Q01094	E2F1	Homo sapiens	inferred by curator	1411535	jaspar	-	-	-	-	-
TFLinkLT01280394	Q01094	E2F1	Homo sapiens	inferred by curator	1411535	jaspar	-	-	-	-	-
TFLinkLT01280395	Q01094	E2F1	Homo sapiens	inferred by curator	1411535	jaspar	-	-	-	-	-
TFLinkLT01280396	Q01094	E2F1	Homo sapiens	inferred by curator	1411535	jaspar	-	-	-	-	-
TFLinkLT01280397	Q01094	E2F1	Homo sapiens	inferred by curator	1411535	jaspar	-	-	-	-	-
TFLinkLT01280398	Q01094	E2F1	Homo sapiens	inferred by curator	1411535	jaspar	-	-	-	-	-
TFLinkLT01280399	Q01094	E2F1	Homo sapiens	inferred by curator	1411535	jaspar	-	-	-	-	-
TFLinkLT01280400	Q01094	E2F1	Homo sapiens	inferred by curator	1411535	jaspar	-	-	-	-	-
TFLinkLT01280401	Q01094	E2F1	Homo sapiens	inferred by curator	1411535	jaspar	-	-	-	-	-
TFLinkLT03305310	Q06546	GABPA	Homo sapiens	inferred by curator	8383622	jaspar	-	-	-	-	-
TFLinkLT03305311	Q06546	GABPA	Homo sapiens	inferred by curator	8383622	jaspar	-	-	-	-	-
TFLinkLT03305312	Q06546	GABPA	Homo sapiens	inferred by curator	8383622	jaspar	-	-	-	-	-
TFLinkLT03305313	Q06546	GABPA	Homo sapiens	inferred by curator	8383622	jaspar	-	-	-	-	-
TFLinkLT03305314	Q06546	GABPA	Homo sapiens	inferred by curator	8383622	jaspar	-	-	-	-	-
TFLinkLT03305315	Q06546	GABPA	Homo sapiens	inferred by curator	8383622	jaspar	-	-	-	-	-
TFLinkLT03305316	Q06546	GABPA	Homo sapiens	inferred by curator	8383622	jaspar	-	-	-	-	-
TFLinkLT04263181	Q01101	INSM1	Homo sapiens	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT04263182	Q01101	INSM1	Homo sapiens	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT04263183	Q01101	INSM1	Homo sapiens	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT04263184	Q01101	INSM1	Homo sapiens	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT04263185	Q01101	INSM1	Homo sapiens	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT04263186	Q01101	INSM1	Homo sapiens	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT04263187	Q01101	INSM1	Homo sapiens	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT04263188	Q01101	INSM1	Homo sapiens	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT04263189	Q01101	INSM1	Homo sapiens	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT04263190	Q01101	INSM1	Homo sapiens	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT04263191	Q01101	INSM1	Homo sapiens	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT04263192	Q01101	INSM1	Homo sapiens	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT04263193	Q01101	INSM1	Homo sapiens	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT04263194	Q01101	INSM1	Homo sapiens	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT04263195	Q01101	INSM1	Homo sapiens	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT04263196	Q01101	INSM1	Homo sapiens	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT04263197	Q01101	INSM1	Homo sapiens	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT04263198	Q01101	INSM1	Homo sapiens	inferred by curator	17916232	jaspar	-	-	-	-	-
