TFLinkID	UniprotID.TF	Name.TF	Organism	Detection.method	PubmedID	Source.database	Assembly	Chromosome	Start	End	Strand
TFLinkLT01195496	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195497	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195498	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195499	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195500	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195501	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195502	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195503	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195504	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195505	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195506	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195507	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195508	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195509	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195510	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195511	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195512	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195513	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195514	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195515	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195516	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195517	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195518	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195519	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195520	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195521	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195522	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195523	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195524	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195525	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195526	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195527	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195528	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195529	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195530	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195531	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195532	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195533	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195534	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195535	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195536	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195537	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195538	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195539	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195540	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195541	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195542	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195543	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195544	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195545	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195546	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195547	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195548	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195549	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195550	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195551	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195552	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195553	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195554	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195555	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195556	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195557	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195558	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195559	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195560	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195561	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195562	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195563	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195564	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195565	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195566	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195567	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195568	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195569	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195570	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195571	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195572	Q62857	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT01195573	P05554	Ddit3::Cebpa	Rattus norvegicus	selex	8657121	jaspar	-	-	-	-	-
TFLinkLT03070127	Q63245	Foxd3	Rattus norvegicus	selex	8139574	jaspar	-	-	-	-	-
TFLinkLT03070128	Q63245	Foxd3	Rattus norvegicus	selex	8139574	jaspar	-	-	-	-	-
TFLinkLT03070129	Q63245	Foxd3	Rattus norvegicus	selex	8139574	jaspar	-	-	-	-	-
TFLinkLT03070130	Q63245	Foxd3	Rattus norvegicus	selex	8139574	jaspar	-	-	-	-	-
TFLinkLT03070131	Q63245	Foxd3	Rattus norvegicus	selex	8139574	jaspar	-	-	-	-	-
TFLinkLT03070132	Q63245	Foxd3	Rattus norvegicus	selex	8139574	jaspar	-	-	-	-	-
TFLinkLT03070133	Q63245	Foxd3	Rattus norvegicus	selex	8139574	jaspar	-	-	-	-	-
TFLinkLT03070134	Q63245	Foxd3	Rattus norvegicus	selex	8139574	jaspar	-	-	-	-	-
TFLinkLT03070135	Q63245	Foxd3	Rattus norvegicus	selex	8139574	jaspar	-	-	-	-	-
TFLinkLT03070136	Q63245	Foxd3	Rattus norvegicus	selex	8139574	jaspar	-	-	-	-	-
TFLinkLT03070137	Q63245	Foxd3	Rattus norvegicus	selex	8139574	jaspar	-	-	-	-	-
TFLinkLT03070138	Q63245	Foxd3	Rattus norvegicus	selex	8139574	jaspar	-	-	-	-	-
TFLinkLT03070139	Q63245	Foxd3	Rattus norvegicus	selex	8139574	jaspar	-	-	-	-	-
TFLinkLT03070140	Q63245	Foxd3	Rattus norvegicus	selex	8139574	jaspar	-	-	-	-	-
TFLinkLT03070141	Q63245	Foxd3	Rattus norvegicus	selex	8139574	jaspar	-	-	-	-	-
TFLinkLT03070142	Q63245	Foxd3	Rattus norvegicus	selex	8139574	jaspar	-	-	-	-	-
