TFLinkID	UniprotID.TF	Name.TF	Organism	Detection.method	PubmedID	Source.database	Assembly	Chromosome	Start	End	Strand
TFLinkLT01331922	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT01331923	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT01331924	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT01331925	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT01331926	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT01331927	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT01331928	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT01331929	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT01331930	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT01331931	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT01331932	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT01331933	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT01331934	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT01331935	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT01331936	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT01331937	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT01331938	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT01331939	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT01331940	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT01331941	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT01331942	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT01331943	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT01331944	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT01331945	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT01331946	Q07802	EBF1	Mus musculus	inferred by curator	17916232	jaspar	-	-	-	-	-
TFLinkLT01566225	P08046	Egr1	Mus musculus	one hybrid	16041365	jaspar	-	-	-	-	-
TFLinkLT01566226	P08046	Egr1	Mus musculus	one hybrid	16041365	jaspar	-	-	-	-	-
TFLinkLT01566227	P08046	Egr1	Mus musculus	one hybrid	16041365	jaspar	-	-	-	-	-
TFLinkLT01566228	P08046	Egr1	Mus musculus	one hybrid	16041365	jaspar	-	-	-	-	-
TFLinkLT01566229	P08046	Egr1	Mus musculus	one hybrid	16041365	jaspar	-	-	-	-	-
TFLinkLT01566230	P08046	Egr1	Mus musculus	one hybrid	16041365	jaspar	-	-	-	-	-
TFLinkLT01566231	P08046	Egr1	Mus musculus	one hybrid	16041365	jaspar	-	-	-	-	-
TFLinkLT01566232	P08046	Egr1	Mus musculus	one hybrid	16041365	jaspar	-	-	-	-	-
