TFLink ID,Uniprot ID,Protein name,Organism,Detection method,Publication,Source database,Assembly,Chr,Start,End,Strand
TFLinkHT0009747,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr3L,401328,401338,+
TFLinkHT0009748,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr3L,401618,401628,+
TFLinkHT0009749,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr3L,401651,401661,+
TFLinkHT0009750,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr2L,19321241,19321251,+
TFLinkHT0009751,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr2L,19321481,19321491,+
TFLinkHT0009752,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr3R,22618314,22618324,-
TFLinkHT0009753,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr3R,22618592,22618602,+
TFLinkHT0009754,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr3R,1135382,1135392,-
TFLinkHT0009755,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr2R,16879452,16879462,-
TFLinkHT0009756,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr3R,21422236,21422246,+
TFLinkHT0009757,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chrX,12988520,12988530,+
TFLinkHT0009758,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr2R,16724354,16724364,+
TFLinkHT0009759,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr2L,2577739,2577749,+
TFLinkHT0009760,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chrX,6717113,6717123,+
TFLinkHT0009761,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr3R,12578121,12578131,+
TFLinkHT0009762,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr3R,12578525,12578535,-
TFLinkHT0009763,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr3R,26592984,26592994,-
TFLinkHT0009764,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr3R,26593285,26593295,-
TFLinkHT0009765,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr3L,16797114,16797124,-
TFLinkHT0009766,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr2L,4346921,4346931,+
TFLinkHT0009767,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr2L,4347440,4347450,+
TFLinkHT0009768,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr2L,7039439,7039449,+
TFLinkHT0009769,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chrX,17367030,17367040,+
TFLinkHT0009770,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chrX,17367363,17367373,-
TFLinkHT0009771,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr3R,7383373,7383383,+
TFLinkHT0009772,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr3L,4167626,4167636,+
TFLinkHT0009773,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr3L,4167704,4167714,-
TFLinkHT0009774,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr2L,20322424,20322434,+
TFLinkHT0009775,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr2L,20322816,20322826,+
TFLinkHT0009776,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr2L,20322905,20322915,-
TFLinkHT0009777,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr2L,3615348,3615358,+
TFLinkHT0009778,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr2L,3615502,3615512,-
TFLinkHT0009779,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chrX,6931352,6931362,-
TFLinkHT0009780,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chr3R,2558622,2558632,-
TFLinkHT0009781,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chrX,4084534,4084544,+
TFLinkHT0009782,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chrX,2324719,2324729,+
TFLinkHT0009783,P09085,cad,Drosophila melanogaster,chromatin immunoprecipitation assay,2571934,jaspar,dm3,chrX,2324867,2324877,+
