Saccharomyces cerevisiae,MET18,P40469,854678,target gene
Saccharomyces cerevisiae,FOX2,Q02207,853878,target gene
Saccharomyces cerevisiae,GPP1,P41277,854758,target gene
Saccharomyces cerevisiae,SIL1,Q08199,854126,target gene
Saccharomyces cerevisiae,ARV1,Q06541,850943,target gene
Saccharomyces cerevisiae,IME2,P32581,853338,target gene
Saccharomyces cerevisiae,KOG1,P38873,856593,target gene
Saccharomyces cerevisiae,SCH9,P11792,856612,target gene
Saccharomyces cerevisiae,ADE17,P38009,855149,target gene
Saccharomyces cerevisiae,MCH5,Q08777,854483,target gene
Saccharomyces cerevisiae,CHC1,P22137,852666,target gene
Saccharomyces cerevisiae,TSA1,P34760,854980,target gene
Saccharomyces cerevisiae,MTD1,Q02046,853955,target gene
Saccharomyces cerevisiae,RFX1,P48743,850873,transcription factor
Saccharomyces cerevisiae,THI21,Q08975,855870,target gene
Saccharomyces cerevisiae,PST2,Q12335,851596,target gene
Saccharomyces cerevisiae,ERT1,P38140,852541,transcription factor
Saccharomyces cerevisiae,MET1,P36150,853943,target gene
Saccharomyces cerevisiae,SDH6,Q3E785,851986,target gene
Saccharomyces cerevisiae,BUD9,P53226,852932,target gene
Saccharomyces cerevisiae,RPL13B,P40212,855173,target gene
Saccharomyces cerevisiae,FHN1,P53279,853032,target gene
Saccharomyces cerevisiae,NSR1,P27476,853064,target gene
Saccharomyces cerevisiae,ROX1,P25042,856178,transcription factor and target gene
Saccharomyces cerevisiae,-,Q07978,850718,target gene
Saccharomyces cerevisiae,NSL1,Q12143,855843,target gene
Saccharomyces cerevisiae,CCP1,P00431,853940,target gene
Saccharomyces cerevisiae,PUP2,P32379,853168,target gene
Saccharomyces cerevisiae,ASN1,P49089,856268,target gene
Saccharomyces cerevisiae,SIP3,P38717,855464,target gene
Saccharomyces cerevisiae,SUT2,Q12286,856118,transcription factor and target gene
Saccharomyces cerevisiae,ATG7,P38862,856576,target gene
Saccharomyces cerevisiae,ALF1,P53904,855574,target gene
Saccharomyces cerevisiae,RIB5,P38145,852559,target gene
Saccharomyces cerevisiae,OST3,P48439,854252,target gene
Saccharomyces cerevisiae,KEX1,P09620,852670,target gene
Saccharomyces cerevisiae,HBT1,Q07653,851303,target gene
Saccharomyces cerevisiae,RPN5,Q12250,851408,target gene
Saccharomyces cerevisiae,REE1,P40893,853238,target gene
Saccharomyces cerevisiae,-,P47053,853407,target gene
Saccharomyces cerevisiae,ERG13,P54839,854913,target gene
Saccharomyces cerevisiae,MED11,Q99278,855139,target gene
Saccharomyces cerevisiae,-,Q2V2P0,3799978,target gene
Saccharomyces cerevisiae,BAG7,Q12128,854302,target gene
Saccharomyces cerevisiae,IST2,P38250,852382,target gene
Saccharomyces cerevisiae,RTT109,Q07794,850658,target gene
Saccharomyces cerevisiae,IPT1,P38954,851644,target gene
Saccharomyces cerevisiae,SRD1,P09007,850377,target gene
Saccharomyces cerevisiae,BZZ1,P38822,856514,target gene
Saccharomyces cerevisiae,-,P0CX18,851295;856621,target gene
Saccharomyces cerevisiae,GET3,Q12154,851458,target gene
Saccharomyces cerevisiae,ARN2,P38724,856338,target gene
Saccharomyces cerevisiae,YEH2,Q07950,850707,target gene
Saccharomyces cerevisiae,FAS1,P07149,853653,target gene
Saccharomyces cerevisiae,SIP4,P46954,853356,transcription factor and target gene
Saccharomyces cerevisiae,CDC6,P09119,853244,target gene
Saccharomyces cerevisiae,MLP1,Q02455,853970,target gene
Saccharomyces cerevisiae,SFL1,P20134,854307,transcription factor
Saccharomyces cerevisiae,YHM2,Q04013,855282,target gene
Saccharomyces cerevisiae,YME1,P32795,856135,target gene
Saccharomyces cerevisiae,HSP82,P02829,855836,target gene
Saccharomyces cerevisiae,SSS1,P35179,851659,target gene
Saccharomyces cerevisiae,CTR9,P89105,854020,target gene
Saccharomyces cerevisiae,TY1A-JR1,P0CX74,850926;853483;854968,target gene
Saccharomyces cerevisiae,PMI40,P29952,856720,target gene
Saccharomyces cerevisiae,MHP1,P43638,853408,target gene
Saccharomyces cerevisiae,SRL3,P36167,853966,target gene
