Protein name,Uniprot ID,NCBI Gene ID,Function,Small-scale evidence,Number of interactions
Myog,P20428,29148,transcription factor and target gene,Yes,3
Myod1,Q02346,337868,transcription factor,Yes,2
Thra,P63059,81812,transcription factor and target gene,Yes,7
Hnf1a,P15257,24817,transcription factor and target gene,Yes,10
Gata4,P46152,54254,transcription factor and target gene,Yes,6
Thrb,Q3HW36,24831,transcription factor,Yes,1
Nr1h4,Q62735,60351,transcription factor and target gene,No,7095
Hnf4a,P22449,25735,transcription factor,No,9106
Olig2,G3V612,304103,transcription factor and target gene,No,6762
Hr,P97609,-,transcription factor,No,5759
Chd8,Q9JIX5,65027,transcription factor and target gene,No,6284
Brd4,D3ZGX8,362844,transcription factor and target gene,No,274
Tcf7l2,D4A8X6,-,transcription factor,No,5112
Sp1,Q01714,24790,transcription factor and target gene,No,9569
Mlxipl,Q8VIP2,171078,transcription factor,No,3804
Pax8,P51974,81819,transcription factor and target gene,No,861
Sox10,O55170,29361,transcription factor and target gene,No,8245
p300,Q91XT0,-,transcription factor,No,396
Jun,P17325,24516,transcription factor and target gene,No,7304
Egr2,P51774,114090,transcription factor and target gene,No,1582
Ahr,P41738,-,transcription factor,No,558
Serpina3k,P05545,24794,transcription factor,No,157
Pou1f1,P10037,25517,transcription factor,No,2499
Satb1,Q5U2Y2,316164,transcription factor and target gene,No,1599
Pgr,Q63449,25154,transcription factor,No,1133
Hdac3,Q6P6W3,84578,transcription factor,No,1737
Rest,O54963,83618,transcription factor,No,403
Hmgb2,P52925,29395;498072,transcription factor and target gene,No,453
Egr1,P08154,24330,transcription factor,No,119
Sox9,F1LYL9,140586,transcription factor and target gene,No,166
Nf1,P97526,24592,transcription factor,No,256
Tbp,Q66HB1,117526,transcription factor and target gene,No,23
Nrl,D4ACF4,290221,transcription factor,No,1
Zbtb18,Q9JKY3,64619,transcription factor,No,10
Srf,D3ZHH8,501099,transcription factor and target gene,No,13
Myod1,A0JPK9,-,transcription factor,No,1
Runx1,Q63046,50662,transcription factor and target gene,No,4
Creb1,P15337,81646,transcription factor and target gene,No,11
Foxa2,G3V7Q2,-,transcription factor and target gene,No,10
-,Q7TP06,-,transcription factor,No,6
-,G3V7U9,-,transcription factor and target gene,No,4
Usf1,O35410,83586,transcription factor and target gene,No,11
Chd7,D3ZAP7,312974,transcription factor and target gene,No,7
Nkx2-1,G3V740,25628,transcription factor and target gene,No,3
Smad1,A0A0G2JSQ6,-,transcription factor and target gene,No,10
Cebpa,A0A0H2UI22,-,transcription factor and target gene,No,12
Myf5,D3ZVU3,299766,transcription factor,No,1
Mtf1,D3ZBT4,100909856;362591,transcription factor,No,1
Cbx1,D4A3T3,360609,transcription factor,No,1
Onecut1,G3V975,-,transcription factor and target gene,No,7
Runx2,F1M9C5,367218,transcription factor,No,1
Irf1,Q6DGG4,-,transcription factor and target gene,No,7
Nfic,O70188,29228,transcription factor and target gene,No,5
Foxa1,F1LR25,-,transcription factor and target gene,No,5
Stat3,P52631,25125,transcription factor and target gene,No,16
Tfap2a,G3V9A8,306862,transcription factor and target gene,No,3
Chrng,P18916,25753,target gene,Yes,1
Mlc1,D4ABB2,315215,target gene,Yes,1
Myh6,G3V885,29556,target gene,Yes,3
Gjb1,P08033,29584,target gene,Yes,5
St2a2,P22789,24902,target gene,Yes,1
Myl1,P02600,56781,target gene,Yes,1
Cep63,Q4KLY0,300963,target gene,No,8
Sec22a,Q642F4,117513,target gene,No,9
Cks1b,B2RZ99,499655,target gene,No,9
Taf1c,Q6P773,361420,target gene,No,9
Dnajc17,D3ZSC8,311329,target gene,No,11
Tmem242,D4A7K0,292228,target gene,No,13
Gtpbp1,D2XV59,300077,target gene,No,9
Prrc1,G3V834,291444,target gene,No,8
Sap30bp,B5DFL5,360662,target gene,No,9
H1-1,D4A3K5,291145,target gene,No,5
Kif18b,Q4KLL9,303575,target gene,No,9
Elp2,Q496Z0,307545,target gene,No,9
Zfyve1,D4A3T4,299188,target gene,No,9
Synj2,F1M0S5,-,target gene,No,8
Tmem176b,Q925D4,171411,target gene,No,5
Cby1,Q8K4I6,246768,target gene,No,12
Tada2b,B5DFL8,289717,target gene,No,8
Zdhhc2,Q9JKR5,-,target gene,No,5
Polr2k,F1LZN9,100361574,target gene,No,9
Mfsd4b,F1LTM4,499462,target gene,No,8
Dnm1l,O35303,114114,target gene,No,9
Nudt3,Q566C7,294292,target gene,No,7
Flot2,Q9Z2S9,83764,target gene,No,4
Mtch1,B0BN30,294313,target gene,No,9
Pck1,P07379,362282,target gene,No,6
Irf3,Q5XIB0,292892,target gene,No,11
Hsd17b7,A0A0H2UHB1,29540,target gene,No,8
Yars,A0A0H2UHG0,313047,target gene,No,12
Colgalt1,B1H282,290637,target gene,No,10
Zfp91,F1MAJ8,246282,target gene,No,11
Pigl,O35790,192263,target gene,No,10
Shb,D3ZN31,362513,target gene,No,6
Hmgn3,Q66H40,113990,target gene,No,6
Tbc1d22a,D3Z994,-,target gene,No,11
RGD1311595,F1LRC7,-,target gene,No,11
Rnf7,D3Z8P1,300948,target gene,No,14
Vps53,D3ZPE5,287535,target gene,No,7
RGD1563941,B0BNK2,500993,target gene,No,9
Rfc5,B5DF29,304528,target gene,No,9
Abcg1,G3V642,-,target gene,No,6
Rarres1,Q58NB7,310486,target gene,No,4
Pah,Q6AYW2,24616,target gene,No,7
Ly6e,Q6AY73,362934,target gene,No,5
-,F1LTJ5,-,target gene,No,4
Apoe,P02650,25728,target gene,No,9
Zfp579,B1WBW3,308339,target gene,No,7
Arl6ip4,Q4V8I5,288656,target gene,No,7
Srsf6,G3V6S8,362264,target gene,No,9
Myo10,D3ZJP6,310178,target gene,No,4
Tbx15,D3ZJ07,295315,target gene,No,1
Tpcn2,D3ZTJ6,309139,target gene,No,5
Il1r1,Q05KR1,25663,target gene,No,9
Rab2b,Q3B7V5,305853,target gene,No,9
Maf1,Q5XIH0,315093,target gene,No,9
Ndufaf2,A0A0G2JZF6,361894,target gene,No,12
Lrriq3,Q6AYL8,499732,target gene,No,12
Mapk14,Q56A33,81649,target gene,No,14
Mrs2,Q9ET09,79032,target gene,No,11
Slc4a1ap,D3ZTF1,-,target gene,No,10
Ganab,D3ZAN3,293721,target gene,No,7
Tfam,Q91ZW1,83474,target gene,No,9
-,A0A096MK80,-,target gene,No,1
Zrsr1,Q5RK33,498425,target gene,No,10
Bud13,G3V8F3,-,target gene,No,11
Tia1,Q5PQR7,312510,target gene,No,11
Trim65,D3ZY16,-,target gene,No,5
Hectd1,D3ZLS5,362736,target gene,No,10
Nptx1,A0A0H2UHC1,-,target gene,No,3
Fam118a,B5DFD4,300120,target gene,No,10
Adck2,D3ZRE6,312258,target gene,No,7
Bhlhe40,Q76JQ4,-,target gene,No,10
Tmem147,Q2TA63,292792,target gene,No,11
Wdr91,B2RYI0,312225,target gene,No,8
Frmd8,Q5U2R3,309172,target gene,No,7
Abhd13,D4A1B6,306630,target gene,No,10
Mettl3,Q4V8G6,361035,target gene,No,8
Arl6ip1,Q7TMZ5,293551,target gene,No,9
Hgfac,Q5EBA7,58947,target gene,No,6
-,M0R6U7,-,target gene,No,1
Ntan1,A0A0G2JWG0,-,target gene,No,3
RGD1309036,D3ZL07,292874,target gene,No,6
Bambi,Q91XN4,83837,target gene,No,9
Hnrnpk,P61980,117282,target gene,No,11
Med18,M0R976,-,target gene,No,7
Rad54l,B5DFE8,298429,target gene,No,7
Rmnd5a,D3ZWU9,312439,target gene,No,12
-,Q66H33,304176,target gene,No,11
Ywhag,P61983,56010,target gene,No,10
Ybx3,F1MA18,-,target gene,No,2
Aars1,P50475,292023,target gene,No,11
Tsta3,G3V762,300036,target gene,No,10
Tspan31,Q5U1V9,362890,target gene,No,9
Ift20,D3ZSV1,287541,target gene,No,9
Nrxn2,Q63376,116595,target gene,No,9
Casc1,B1H288,297720,target gene,No,9
C1qbp,O35796,29681,target gene,No,9
Ptprm,F1LPJ1,29616,target gene,No,6
-,D3ZWF4,-,target gene,No,8
Sesn3,D4A469,315427,target gene,No,7
Plagl2,A0A0G2JZX7,296281,target gene,No,9
Slc50a1,D3ZH22,295245,target gene,No,8
Ercc8,G3V7B8,310071,target gene,No,11
Depdc7,Q4QR86,295971,target gene,No,7
Cox7a2l,D3ZYX8,298762,target gene,No,9
Taf8,D3ZY89,316216,target gene,No,9
Mettl14,B2RYI4,295428,target gene,No,9
Trim62,M0R947,313045,target gene,No,3
Stn1,A0A0H2UHR9,294025,target gene,No,10
Rin2,D4A6C4,311494,target gene,No,6
Oma1,D3ZS74,298282,target gene,No,6
Kif11,F1MAB8,171304,target gene,No,12
Syn2,G3V733,-,target gene,No,6
Gtf2h4,Q6MG20,294236,target gene,No,10
Snx16,P57769,64088,target gene,No,9
Stard9,D3Z9J4,-,target gene,No,9
Cdc42bpa,G3V6C9,-,target gene,No,5
Gpr158,A0A0A0MY13,291352,target gene,No,7
Frs2,D4A244,314850,target gene,No,9
Cenpw,A1L1L1,689399,target gene,No,7
Anpep,A0A0G2JVE6,81641,target gene,No,3
Dclre1b,A0A0G2K494,310745,target gene,No,10
Rasa3,A0A0G2JW85,-,target gene,No,6
Ogfod1,D4ACB4,307657,target gene,No,9
Tril,Q496Z2,362364,target gene,No,4
Irx2,D3ZGA0,306657,target gene,No,3
Fsip1,Q66H16,296074,target gene,No,6
Tmem132a,G3V963,-,target gene,No,7
Dpp9,M0R781,301130,target gene,No,8
Cbx6,E9PT11,-,target gene,No,9
Rab22a,B0BN19,366265,target gene,No,6
Cltc,F1M779,-,target gene,No,18
Thrsp,Q5HZE3,25357,target gene,No,3
Mybl2,D3ZLC6,296344,target gene,No,9
Nifk,Q5RJM0,246042,target gene,No,9
Pitrm1,D3ZUF9,307081,target gene,No,11
Actn4,Q9QXQ0,63836,target gene,No,13
Taf12,A0A0G2JZ70,682902,target gene,No,10
Pes1,Q3B8N8,289740,target gene,No,9
Parm1,F1LQ50,-,target gene,No,3
Senp8,Q5FVJ8,315723,target gene,No,10
Chtop,Q498T2,361990,target gene,No,12
B3galt4,Q6MGC2,171079,target gene,No,7
Ddx27,B1H269,362274,target gene,No,10
En1,A0A0G2JT82,-,target gene,No,4
Cop1,A0A096UWG1,360860,target gene,No,10
Napepld,Q769K2,296757,target gene,No,10
Glrx2,Q6AXW1,114022,target gene,No,6
Rpl17,A0A0H2UHQ1,-,target gene,No,11
Snrpn,P63164,81781,target gene,No,2
Ell,D4A753,-,target gene,No,9
Ypel2,D4AAS2,360590,target gene,No,9
Idi1,A0A0H2UHN2,89784,target gene,No,6
-,A0A0G2JYM2,-,target gene,No,5
Snx13,D3ZCH3,362731,target gene,No,9
Sec61b,B2RZD1,298068,target gene,No,9
-,A0A1W2Q6L2,-,target gene,No,9
Hint1,P62959,690660,target gene,No,3
Gpr88,Q9ESP4,64443,target gene,No,3
-,D4A6V3,-,target gene,No,3
Fam217b,D3ZSF0,311692,target gene,No,5
Polr3gl,B4F7D3,690254,target gene,No,8
Napsa,Q9QX71,60575,target gene,No,3
Ermp1,F1M6W2,-,target gene,No,9
Ptma,P06302,100359583;29222,target gene,No,13
Yae1,D4AEK7,306994,target gene,No,7
Eif2s3,P81795,299027,target gene,No,8
Stradb,D3ZVH0,501146,target gene,No,13
Ints9,F1M365,102549712;290322,target gene,No,12
Ccdc32,Q561K4,296081,target gene,No,7
Osbp,D4A9D8,365410,target gene,No,12
