Med1,Q925J9,19014,transcription factor and target gene
Dot1l,F6S070,-,transcription factor
Ncoa3,Q05BA5,17979,target gene
Slc1a3,P56564,20512,target gene
Pnmt,P40935,18948,target gene
Ccnb1,P24860,268697,target gene
Srebf1,Q9WTN3,20787,transcription factor and target gene
Deaf1,Q9Z1T5,54006,transcription factor
Bach2,P97303,12014,transcription factor
Rabggtb,P53612,19352,target gene
Dspp,E9Q9Z9,666279,target gene
Apex1,P28352,11792,transcription factor and target gene
Hes1,P35428,15205,transcription factor and target gene
Ash1l,Q99MY8,192195,transcription factor
Cadm1,Q8R5M8,54725,target gene
Igh,Q58E54,-,target gene
Cldn3,Q9Z0G9,12739,target gene
Parp1,P11103,-,transcription factor and target gene
Bmp4,P21275,12159,transcription factor and target gene
Brip1,Q5SXJ3,237911,target gene
Angptl2,Q9R045,26360,target gene
Ms4a2,P20490,14126,target gene
Lmo4,P61969,16911,transcription factor
Cd8a,P01731,12525,target gene
C4b,P01029,12268,target gene
Cebpa,P53566,12606,transcription factor and target gene
Gbp2,Q9Z0E6,14469,target gene
Atn1,O35126,13498,target gene
Krt19,P19001,16669,target gene
Nkx3-2,P97503,12020,transcription factor and target gene
Gtf2a2,Q80ZM7,235459,transcription factor
Cd40,P27512,21939,target gene
Acvr1b,Q61271,11479,target gene
Prkce,P16054,18754,target gene
Ide,Q9JHR7,-,target gene
Neurod2,Q62414,18013,target gene
Ddr2,Q62371,18214,target gene
Stra8,P70278,20899,target gene
Tcf21,O35437,21412,transcription factor
Cyp27b1,O35084,13115,target gene
Tcirg1,F6XRE6,-,target gene
Hsp90ab1,P11499,15516,target gene
Upf3b,Q9CS15,-,target gene
Rarb,P22605,218772,transcription factor and target gene
Prm1,P02319,19118,target gene
Pou3f4,P62515,18994,transcription factor
Prdm5,Q9CXE0,70779,transcription factor
Sp2,Q9D2H6,78912,transcription factor
Atf1,P81269,11908,transcription factor
Scnn1a,Q61180,20276,target gene
Pias3,O54714,229615,transcription factor and target gene
Fabp1,P12710,14080,target gene
Trpm1,Q2TV84,17364,target gene
Fbxw7,Q8VBV4,50754,target gene
Tns1,Q9DBT6,21961,target gene
Slc29a1,Q9JIM1,63959,target gene
Lgals12,Q91VD1,56072,target gene
Sox15,P43267,20670,transcription factor
Tcf12,Q61286,21406,transcription factor and target gene
Lif,P09056,16878,target gene
Atf4,Q06507,11911,transcription factor
Mmp10,O55123,17384,target gene
Gtf2h1,Q9DBA9,14884,transcription factor
Ccr9,Q9WUT7,12769,target gene
Hoxb2,P0C1T1,103889,transcription factor and target gene
Pde6b,P23440,18587,target gene
Myoz2,Q9JJW5,59006,target gene
Elp3,Q9CZX0,74195,transcription factor
Dhrs4,Q99LB2,28200,target gene
Phex,P70669,18675,target gene
Tll1,Q62381,-,target gene
Igh,Q6PDB8,-,target gene
Socs2,O35717,216233,target gene
Asah1,Q9WV54,11886,target gene
Cyp8b1,O88962,13124,target gene
Soat2,O88908,223920,target gene
Pax3,P24610,18505,transcription factor and target gene
Pcbp2,Q61990,18521,transcription factor and target gene
Gfap,P03995,14580,target gene
F11,Q91Y47,109821,target gene
Htr1a,Q64264,15550,target gene
Hbz,P06467,15126,target gene
Acss1,Q99NB1,68738,target gene
Satb1,Q60611,20230,transcription factor and target gene
Il5ra,P21183,16192,target gene
Kif21b,Q9QXL1,16565,target gene
Meox2,P32443,17286,transcription factor
Slc2a4,P14142,20528,target gene
Zeb1,Q64318,21417,transcription factor and target gene
Cd38,P56528,12494,target gene
Vpreb1,P13372,22362,target gene
